ID,Country,ISO3,Inward,Outward
1,United Kingdom,GBR,405922126948.0,137347638574.0
2,Australia,AUS,498247648746.0,471579126397.0
3,Bermuda,BMU,86184694896.0,68859957213.0
4,Canada,CAN,778037158463.0,1070234315373.0
5,Cayman Islands,CYM,2996671254.0,26636766074.0
6,Ireland,IRL,181053084188.0,122679886675.0
7,Finland,FIN,188321456278.0,137460818191.0
8,France,FRA,1490258565092.0,1656218969347.0
9,Greece,GRC,63567952171.0,67109521904.0
10,Hong Kong SAR,HKG,587061629817.0,714162329763.0
11,Italy,ITA,427883797337.0,702562602837.0
12,Japan,JPN,2713876429477.0,2180399482863.0
13,Luxembourg,LUX,143350445701.0,154480728999.0
14,Malaysia,MYS,92467718191.0,112438244482.0
15,New Zealand,NZL,5785170269.0,10366934397.0
16,Poland,POL,77802635161.0,85487988803.0
17,South Africa,ZAF,294283414244.0,259678599635.0
18,Singapore,SGP,222087291734.0,616363054733.0
19,"Taiwan, R.O.C.",TWN,319151786495.0,322587939838.0
20,Thailand,THA,55755585747.0,47503369220.0
21,United States,USA,10054709169040.0,17983871881894.0
22,Denmark,DNK,119263633128.0,159994746202.0
23,Norway,NOR,230619568160.0,430923434051.0
24,Portugal,PRT,70827890938.0,70401053236.0
25,Spain,ESP,472655991949.0,686950857150.0
26,Sweden,SWE,289177481510.0,456066953749.0
27,Austria,AUT,140437411450.0,129521109226.0
28,Belgium,BEL,230177132710.0,264059452182.0
29,Germany,DEU,1020161927322.0,1427820886032.0
30,Netherlands,NLD,383040441677.0,586660378551.0
31,Switzerland,CHE,468474425986.0,622289972392.0
32,Cyprus,CYP,2328405816.0,83033700796.0
33,Israel,ISR,107545262005.0,94922517874.0
34,Russian Federation,RUS,473985650033.0,467117793614.0
35,Malta,MLT,1066910208.0,288502450.0
36,Hungary,HUN,23756062068.0,13280504802.0
37,Turkey,TUR,55164843143.0,66147346279.0
38,Bulgaria,BGR,2542498583.0,5116637138.0
39,Czech Republic,CZE,45471525355.0,32234399998.0
40,Slovakia,SVK,4535778164.0,389585787.0
41,Lithuania,LTU,902474992.0,6021347137.0
42,Slovenia,SVN,7841035653.0,11757934534.0
43,Argentina,ARG,24873040736.0,30081438347.0
44,Brazil,BRA,2439047328610.0,3420440838170.0
45,Belarus,BLR,0.0,0.0
46,Chile,CHL,95281154074.0,124394631121.0
47,China,CHN,2568233525963.0,3412355706987.0
48,Colombia,COL,34829148590.0,38529755673.0
49,Ecuador,ECU,0.0,251361725.0
50,European Zone,no data,0.0,0.0
51,Egypt,EGY,3514291196.0,7117992156.0
52,Estonia,EST,349436129.0,4139654638.0
53,Guatemala,GTM,0.0,37066588.0
54,India,IND,587792601625.0,935192655482.0
55,Kenya,KEN,599993.0,880767.0
56,Kuwait,KWT,45569884062.0,106827987701.0
57,Latvia,LVA,527758937.0,829553608.0
58,Lebanon,LBN,852444011.0,4054986033.0
59,Mexico,MEX,150554006853.0,163533534495.0
60,Morocco,MAR,19174904139.0,21253858453.0
61,Pakistan,PAK,103625286.0,282497352.0
62,Panama,PAN,411991509.0,6342814367.0
63,Paraguay,PRY,0.0,312246229.0
64,Peru,PER,105106196454.0,69897104267.0
65,Philippines,PHL,19034645265.0,8417630294.0
66,Saudi Arabia,SAU,40369437966.0,57022848255.0
67,"Korea, Rep. (South)",KOR,548081183473.0,374390444942.0
68,Tanzania,TZA,0.0,1352156.0
69,Tunisia,TUN,3179882.0,7370239.0
70,United Arab Emirates,ARE,20079594977.0,75400775583.0
71,Ukraine,UKR,0.0,2016408420.0
72,Uruguay,URY,0.0,1525775207.0
73,Venezuela,VEN,0.0,1353310740.0
74,Vietnam,VNM,192641566.0,333890352.0
75,Zambia,ZMB,0.0,116013974.0
76,Gibraltar,GIB,1830452485.0,12668434958.0
77,Monaco,MCO,627095788.0,7190172439.0
78,Iceland,ISL,10094362411.0,37195469354.0
79,Nether. Antilles,CUW,0.0,13048564.0
80,Romania,ROU,589176311.0,7121305840.0
81,Aruba,ABW,0.0,129987.0
82,Bahamas,BHS,0.0,10969393795.0
83,Bahrain,BHR,7557769750.0,5830071990.0
84,Bangladesh,BGD,8344636.0,103735230.0
85,Barbados,BRB,0.0,1923193905.0
86,Belize,BLZ,0.0,1179125011.0
87,Bolivia,BOL,0.0,409540203.0
88,Botswana,BWA,0.0,29120562.0
89,Costa Rica,CRI,0.0,1120968.0
90,Cuba,CUB,0.0,0.0
91,Dominica,DMA,0.0,0.0
92,El Salvador,SLV,0.0,0.0
93,Fiji,FJI,0.0,23701117.0
94,Ghana,GHA,0.0,389916047.0
95,Haiti,HTI,0.0,0.0
96,Indonesia,IDN,26314916441.0,7624495716.0
97,Iran,IRN,0.0,267499070.0
98,Jamaica,JAM,0.0,52634.0
99,Jordan,JOR,355439563.0,9078652495.0
100,Lesotho,LSO,0.0,12450613.0
101,Liberia,LBR,0.0,5734015646.0
102,Libyan Arab Jamahiriya,LBY,0.0,63254068.0
103,Malawi,MWI,0.0,0.0
104,Mauritius,MUS,24823162.0,7823868815.0
105,Myanmar,MMR,0.0,0.0
106,Nigeria,NGA,234989292.0,317074218.0
107,Papua New Guinea,PNG,0.0,775820837.0
108,Seychelles,SYC,0.0,13976599.0
109,Sri Lanka,LKA,0.0,6607831.0
110,Swaziland,SWZ,0.0,72239253.0
111,Trinidad and Tobago,TTO,0.0,32348764.0
112,Uganda,UGA,0.0,2544200.0
113,Vanuatu,VUT,0.0,45445972.0
115,"Congo, Democratic Republic of",COD,0.0,0.0
116,Zimbabwe,ZWE,0.0,18828790.0
117,Antigua and Barbuda,ATG,0.0,11677438.0
118,Virgin Islands (UK),VGB,4971463804.0,163231337934.0
119,Cameroon,CMR,0.0,5547343.0
120,Cook Islands,COK,0.0,4648626.0
121,Gabon,GAB,0.0,861808884.0
122,Guernsey,GGY,4026287733.0,6890236054.0
123,Isle of Man,IMN,4900055457.0,7091146245.0
124,Cote-D'Ivoire,CIV,0.0,201119104.0
125,Jersey,JEY,39573649317.0,23636842179.0
126,Liechtenstein,LIE,3022091197.0,8248782225.0
127,Puerto Rico,PRI,1518881471.0,115721871.0
129,Togo,TGO,13445188.0,0.0
130,Virgin Islands (US),VIR,0.0,429168308.0
131,Oman,OMN,426484423.0,237879647.0
132,Algeria,DZA,0.0,532872492.0
133,Albania,ALB,0.0,0.0
134,Andorra,AND,0.0,188897542.0
135,Anguilla,AIA,3688757.0,2197247.0
136,Central African Rep.,CAF,0.0,0.0
137,Croatia,HRV,15717397302.0,13746534071.0
138,Falkland (Malvinas),FLK,0.0,516570.0
139,Guinea,GIN,0.0,0.0
140,Laos,LAO,0.0,0.0
141,Madagascar,MDG,0.0,0.0
142,Maldives,MDV,0.0,4347.0
143,Namibia,NAM,4575929.0,907267207.0
144,Nepal,NPL,0.0,130739994.0
145,New Caledonia,NCL,0.0,546655628.0
146,"Korea, Dem. People's Rep. of",PRK,199946841.0,4384000.0
147,Qatar,QAT,6253426402.0,12347676309.0
149,Samoa,WSM,0.0,276874481.0
150,Suriname,SUR,0.0,0.0
151,Yemen,YEM,0.0,0.0
152,Turks and Caicos Islands,TCA,0.0,1416590215.0
153,Senegal,SEN,0.0,0.0
154,Kazakhstan,KAZ,531296116.0,221493030.0
155,Chad,TCD,0.0,0.0
156,Cape Verde,CPV,0.0,0.0
157,Sudan,SDN,0.0,0.0
158,Afghanistan,AFG,0.0,0.0
159,American Samoa,ASM,0.0,0.0
160,Angola,AGO,0.0,766795534.0
161,Antartics,ATA,0.0,0.0
162,Armenia,ARM,0.0,0.0
163,Azerbaijan,AZE,0.0,0.0
164,Benin,BEN,0.0,0.0
165,Bhutan,BTN,0.0,0.0
166,Bosnia & Herzegovina,BIH,0.0,247.0
167,Bouvet Island,BVT,0.0,0.0
168,British Territory Ind. Ocean,IOT,0.0,0.0
169,Brunei Darussalam,BRN,0.0,107136259.0
170,Burkina Faso,BFA,0.0,12957.0
171,Burundi,BDI,0.0,0.0
172,Cambodia,KHM,0.0,0.0
173,Christmas Island,CXR,0.0,0.0
174,Cocos (Keeling) Islands,CCK,0.0,0.0
175,Comoros,COM,0.0,0.0
176,"Congo, Republic of the",COG,0.0,14121788.0
177,Djibouti,DJI,0.0,0.0
178,Dominican Republic,DOM,0.0,0.0
179,Timor-Leste,TLS,0.0,0.0
180,Equatorial Guinea,GNQ,0.0,0.0
181,Eritrea,ERI,0.0,0.0
182,Ethiopia,ETH,0.0,0.0
183,Faroe Islands,FRO,0.0,364722500.0
184,France Metropolitan,FRA,0.0,0.0
185,French Antilles,FRA,0.0,0.0
186,French Guiana,GUF,0.0,0.0
187,French Polynesia,PYF,0.0,0.0
188,French Southern Territories,ATF,0.0,0.0
189,Gambia,GMB,0.0,0.0
190,Georgia,GEO,0.0,132292396.0
191,Greenland,GRL,0.0,89135147.0
192,Grenada,GRD,0.0,226.0
193,Guadeloupe,GLP,0.0,0.0
194,Guam,GUM,0.0,0.0
195,Guinea Bissau,GNB,0.0,0.0
196,Guyana,GUY,0.0,0.0
197,Heard Island and McDonald Islands,HMD,0.0,0.0
198,Holy See (Vatican City State),VAT,0.0,0.0
199,Honduras,HND,0.0,0.0
200,Iraq,IRQ,0.0,71388.0
201,Kiribati,KIR,0.0,0.0
202,Kyrgyzstan,KGZ,0.0,310785445.0
203,Macau,MAC,19480115.0,725110849.0
204,Macedonia,MKD,0.0,0.0
205,Mali,MLI,0.0,750130.0
206,Marshall Islands,MHL,0.0,414533065.0
207,Martinique,MTQ,0.0,46752345.0
208,Mauritania,MRT,0.0,24743648.0
209,Mayotte,MYT,0.0,0.0
210,Micronesia,FSM,0.0,0.0
211,Moldova,MDA,0.0,0.0
212,Mongolia,MNG,0.0,460400102.0
213,Montserrat,MSR,0.0,0.0
214,Mozambique,MOZ,0.0,373290.0
215,Nauru,NRU,0.0,0.0
216,Nicaragua,NIC,0.0,0.0
217,Niger,NER,0.0,0.0
218,Niue,NIU,0.0,0.0
219,Norfolk Island,NFK,0.0,0.0
220,Northern Mariana Islands,MNP,0.0,19991353.0
221,Palau,PLW,0.0,0.0
222,Pitcairn,PCN,0.0,0.0
223,Reunion,REU,0.0,0.0
224,Rwanda,RWA,0.0,0.0
225,San Marino,SMR,0.0,1990070.0
226,Sao Tome & Principe,STP,0.0,0.0
227,Sierra Leone,SLE,0.0,0.0
228,Solomon Islands,SLB,0.0,132942.0
229,Somalia,SOM,0.0,262726.0
230,South Georgia and South Sandwich Islands,SGS,0.0,2477.0
231,Soviet Union,SUN,0.0,0.0
232,St. Helena,SHN,0.0,0.0
233,St. Kitts and Nevis,KNA,0.0,45612819.0
234,St. Lucia,LCA,0.0,10097998.0
235,St. Pierre and Miquelon,SPM,0.0,0.0
236,St. Vincent and the Grenadines,VCT,0.0,9802512.0
237,Svalbard and Jan Mayen,SJM,0.0,0.0
238,Syria,SYR,0.0,906245776.0
239,Tajikistan,TJK,0.0,1925820.0
240,Tokelau,TKL,0.0,0.0
241,Tonga,TON,0.0,0.0
242,Turkmenistan,TKM,0.0,0.0
243,Tuvalu,TUV,0.0,0.0
244,United States Minor Outlaying,USA,0.0,94323705.0
245,Uzbekistan,UZB,0.0,0.0
246,Wallis and Futuna,WLF,0.0,0.0
247,West Indian States,IND,0.0,0.0
248,Western Sahara,ESH,0.0,0.0
249,England,GBR,1313577286319.0,3829025341540.0
250,Northern Ireland,GBR,0.0,201649856.0
251,Scotland,GBR,125845154650.0,321158586860.0
252,Wales,GBR,5392149763.0,258214762.0
253,West Indies (British),GBR,0.0,0.0
254,West Indies (French),FRA,0.0,0.0
255,Channel Islands,GBR,0.0,246037093.0
256,Serbia,SRB,0.0,99917.0
258,Republic of Kosovo,XKX,0.0,0.0
259,Montenegro,MNE,0.0,0.0
282,・・and Islands,,0.0,0.0
283,"Bonaire, St. Eustatius and Saba",BES,0.0,0.0
284,Curacao,CUW,0.0,1852535469.0
285,Palestinian Territories,PSE,0.0,0.0
286,Sint Maarten,SXM,0.0,0.0
287,Saint Barthelemy,BLM,0.0,560416.0
288,Saint Martin,MAF,0.0,0.0
289,Sudan (South),SSD,0.0,0.0
0,,,14995953671127.0,11664308656.0
